# repo	source	dest	action	note
# ---------------------------------------------------------------- interfaces
tumorspace	contracts/schema.json	interfaces/catalog/schema.json	copy	the catalog format
toolkit	src/compute/base.py	interfaces/run/protocol.py	rewritten	the four operations, with combo and study gone and Launcher deleted
-	-	interfaces/run/PROTOCOL.md	new	submit poll cancel collect, written down once
# ---------------------------------------------------------------- domain: spatial transcriptomics
tumorspace	contracts/capabilities/	domains/spatial-transcriptomics/catalog/	copy	9 entries
tumorspace	workflows/	domains/spatial-transcriptomics/kernels/	copy	8 workflow dirs, julia and R
tumorspace	containers/	domains/spatial-transcriptomics/environments/	copy	container definitions
tumorspace	bin/gotree	domains/spatial-transcriptomics/environments/bin/gotree	copy	third-party binary a kernel calls
tumorspace	reference_data/	domains/spatial-transcriptomics/reference/	copy	8.7 MB, gene name maps
tumorspace	contracts/checks/ripley/	domains/spatial-transcriptomics/checks/	copy	compares two implementations of one method
tumorspace	contracts/extracted/select_optimal_svd.sh	domains/spatial-transcriptomics/kernels/	copy	extracted from an orchestration script
toolkit	src/analysis/domains/spatial_transcriptomics/study.py	domains/spatial-transcriptomics/kernels/python/	rewrite	built in a client; 9 hardcoded filenames move to catalog
toolkit	src/analysis/domains/spatial_transcriptomics/stats.py	domains/spatial-transcriptomics/kernels/python/	rewrite	same
toolkit	src/McpServer/tools/tertiary/spatial.py	domains/spatial-transcriptomics/catalog/	rewrite	prose becomes interpretation; plumbing deleted
toolkit	context/spatial-transcriptomics/	domains/spatial-transcriptomics/interpretation/	copy	4 files
# ---------------------------------------------------------------- domain: microbiome
biobakery	bin/run_wmgx.sh	domains/microbiome/kernels/	copy	the pipeline invocation
biobakery	bin/submit_wmgx.sh	domains/microbiome/kernels/	rewrite	SLURM submission is the executor's job; keep the argv build
biobakery	bin/build_env.sh	domains/microbiome/environments/	copy
biobakery	bin/postinstall.sh	domains/microbiome/environments/	copy
biobakery	bin/patch_anadama2.sh	domains/microbiome/environments/patches/	copy	patches the third-party package
biobakery	bin/patch_humann.sh	domains/microbiome/environments/patches/	copy
biobakery	bin/patch_workflows_counts.sh	domains/microbiome/environments/patches/	copy
biobakery	bin/patch_workflows_strainphlan.sh	domains/microbiome/environments/patches/	copy
biobakery	bin/config_humann_dbs.sh	domains/microbiome/reference/	copy	marker database wiring
biobakery	bin/link_metaphlan_db.sh	domains/microbiome/reference/	copy
biobakery	bin/link_humann_ec_map.sh	domains/microbiome/reference/	copy
biobakery	envs/exports/biobakery_workflows.20260724.lock	domains/microbiome/environments/	copy	the pin
biobakery	config/env.sh	domains/microbiome/environments/	split	database versions stay here
biobakery	config/site.sh	-	superseded	every value in it is now a field of infrastructure/sites/randi.json
biobakery	templates/study-run.sh	domains/microbiome/kernels/	copy
biobakery	bootstrap.sh	domains/microbiome/environments/	copy
toolkit	src/analysis/domains/microbiome/study.py	domains/microbiome/kernels/python/	copy	the 5-table assembler
toolkit	src/analysis/workflows/differential.py	domains/microbiome/kernels/python/	copy	CLR, per-subject random effect, reference cohort
toolkit	src/compute/tertiary/r/	domains/microbiome/kernels/r/	copy	the R wrappers stay as kernels
toolkit	src/compute/tertiary/maaslin.py	domains/microbiome/catalog/maaslin3.json	rewritten	the argument assembly is the catalog entry now; the R wrapper is the kernel
toolkit	src/compute/tertiary/lefser.py	domains/microbiome/catalog/lefser.json	rewritten	same
toolkit	src/compute/tertiary/halla.py	domains/microbiome/catalog/	rewrite	same
toolkit	src/compute/secondary/biobakery.py	domains/microbiome/catalog/	rewrite	COMBOS dict becomes entries with produced_by edges
toolkit	src/compute/secondary/inputs.py	domains/microbiome/catalog/	rewrite	same
toolkit	src/McpServer/tools/tertiary/biobakery.py	domains/microbiome/catalog/	rewrite	520 lines, mostly argument plumbing
toolkit	src/McpServer/tools/tertiary/microbiome.py	domains/microbiome/catalog/	rewrite	205 lines, same
toolkit	context/microbiome/	domains/microbiome/interpretation/	copy	4 files
toolkit	envs/r-stats/	domains/microbiome/environments/r-stats/	partial	the renv project: lockfile, activate, restore. The built library is not copied
toolkit	envs/halla/	domains/microbiome/environments/	partial	lockfile only; 321 MB build is not copied
# ---------------------------------------------------------------- domain: statistics
toolkit	src/analysis/primitives/	domains/statistics/kernels/primitives/	copy	all 22, including jsonsafe.py, which the primitives import
toolkit	src/analysis/workflows/ordination.py	domains/statistics/kernels/workflows/	copy
toolkit	src/analysis/workflows/survival.py	domains/statistics/kernels/workflows/	copy
toolkit	src/analysis/workflows/inputs.py	domains/statistics/kernels/workflows/	copy
# ---------------------------------------------------------------- infrastructure
tumorspace	contracts/bin/run.py	infrastructure/runner/	copy	staging, digests, refusals
tumorspace	contracts/bin/_contract.py	interfaces/catalog/entry.py	rewritten	split: the catalog format moved here, profile loading to infrastructure/sites/profile.py
tumorspace	contracts/bin/render.py	infrastructure/render-targets/	copy
tumorspace	contracts/bin/graph.py	infrastructure/graph/	copy
tumorspace	contracts/bin/baseline.py	infrastructure/artifact-store/	copy
tumorspace	contracts/bin/status.py	infrastructure/artifact-store/	copy
tumorspace	contracts/baselines/	infrastructure/artifact-store/baselines/	copy	stale until re-recorded
tumorspace	contracts/profiles/	infrastructure/sites/	copy	randi, local, linux-generic
tumorspace	contracts/checks/environment/	infrastructure/checks/	copy
tumorspace	template_dir/	infrastructure/render-targets/nextflow/	copy	hand-written; the renderer supersedes it
toolkit	src/compute/sites/randi.py	infrastructure/sites/	merge	second description of the same machine
toolkit	src/compute/backends/	infrastructure/executors/	rewritten	the four operations over the runner: local.py, slurm_ssh.py, registry.py. The synchronous rscript and pycli backends are superseded by local.py, which drives the runner instead of a language.
toolkit	src/provenance/	infrastructure/artifact-store/	superseded	one store.py replaces all six; they were a package and could not run flattened
toolkit	src/datasource/base.py	infrastructure/datasource/	copy
toolkit	src/datasource/local.py	infrastructure/datasource/	copy
toolkit	src/datasource/tables.py	infrastructure/datasource/	copy
toolkit	src/datasource/paths.py	infrastructure/datasource/	copy
toolkit	src/datasource/ingest.py	infrastructure/datasource/	copy
